Name,urlwebsite,Description French,Description
spectral-tms,https://spectraltms.com/,Spectral TMS édite une solution de Réalité Augmentée pour l'Industrie qui forme et guide les techniciens lors des opérations de maintenance industrielle.,Spectral TMS publishes a solution Augmented Reality for Industry and technicians who form guide during industrial maintenance.
auto-ecolenet,https://www.auto-ecole.net/,"Auto-ecole.net: Code de la route dès 49 euros, Pack 20 heure dès 599 euros. Auto école agréée par la préfecture. Dans toute la France - 83% de réussite au permis",Auto-ecole.net: HTA from 49 euros Pack 20 hours from 599 euros. Driving school approved by the prefecture. Throughout France - 83% success licenses
campingscom,https://www.campings.com/fr/,Campings.com - Leader européen de la réservation de campings sur internet. Profitez du plus grand choix de campings en Europe et réservez très facilement en ligne ou par téléphone le camping de vos rêves pour des vacances réussies !,Campings.com - European campsites booking online leader. Enjoy the largest selection of campsites in Europe and book easily online or by phone the campsite of your dreams for a successful holiday!
avekapeti,http://www.avekapeti.com,"    Des plats sains frais et variés dès 5.90€ livrés à domicile ou au bureau, préparés par des chefs passionnés de manière artisanale : Sur Paris et petite couronne","    Healthy fresh and varied dishes from € 5.90 delivered to your home or office, prepared by passionate chefs using traditional methods: In Paris and suburbs"
skiptax,http://www.skiptax.com,"Free app to get your tax refund in just a few clicks, at a better rate !","Free app to get your tax refund in Just a few clicks, at a better rate!"
xval,https://xval.fr/,"La solution pour valoriser / évaluer votre entreprise ou fonds de commerce. Rapide, confidentiel, avec plusieurs méthodes de valorisation.","The solution to enhance / evaluate your business or businesses. Fast, confidential, with several valuation methods."
digital-essence,https://digitalessence.fr/,,#VALUE!
deft-software,https://deftsoftware.com/,,#VALUE!
spacesense,https://spacesense.ai/,"Get access to the power of satellite images combined with IA, dedicated to Agriculture. With SpaceSense, enhance the quality of your data with satellite images to create new powerful models, adapted to your needs.","Get access to the power of satellite images combined with IA, dedicated to agriculture. With SpaceSense, Enhance the quality of your data with satellite images to create new models Powerful, adapté to your needs."
mercateam,http://merca.team/,"Grâce à Mercateam, valorisez, organisez et transmettez les compétences de vos équipes terrain. En mode SAAS l’outil Mercateam est rapide à implémenter et simple à utiliser.","With Mercateam, valuate, organize and transmit the skills of your field teams. SAAS mode Mercateam tool is quick to implement and simple to use."
kurmi-software,https://www.kurmi-software.com/fr/,"Kurmi Software automatise le provisioning et l'administration de vos solutions de Communications Unifiées, de Centre de Contact et de Collaboration",Kurmi Software automates the provisioning and administration of your Unified Communications solutions to Contact Center and Collaboration
sekoia,https://www.sekoia.fr/,,#VALUE!
implement,https://join-implement.com/,"Join a live and coached online sprint to learn new skills and get your projects done! Implement's courses are a blend of live online sessions, one-to-one coaching and individual work.","Join a live and online coached sprint to learn new skills and get your projects done! Implement's races are a blend of live online sessions, one-to-one coaching and individual work."
ekestrian,https://www.ekestrian.com/,,#VALUE!
joko,https://www.hellojoko.com/,L'application gratuite qui te récompense au quotidien quand tu dépenses chez plus de 1000 enseignes !,The free application that reward you every day when you spend at over 1000 stores!
carte-cadeau-ethikdo,http://www.ethikdo.co,"La première carte cadeau française des enseignes 100% éthiques, écologiques, solidaires et responsables !","The first French gift card for 100% ethical signs, green, caring and responsible!"
okube,https://okube-attribution.com/,oKube améliore votre stratégie marketing en mesurant l'impact de vos campagnes media. Optimisez votre ROI par la mesure du trafic en magasin et en ligne.,oKube improves your marketing strategy by measuring the impact of your media campaigns. Maximize your ROI by measuring the traffic in stores and online.
sightness,https://sightness.com/,"Avec ses algorithmes d’IA, la solution SaaS Sightness rend les data transport intelligibles, détecte les anomalies et permet de prendre les bonnes décisions.","With AI algorithms, the solution SaaS Sightness makes intelligible data transmission, detects anomalies and helps make the right decisions."
yvy-mate,https://yvy-mate.fr,"Spécialiste du maté en France, YVY Maté vous propose une large gamme de maté bio et équitable d'exception cultivé en agroforêt. À l'ombre de la forêt, le maté est récolté tous les deux ans à maturité, afin d'obtenir une toute autre expérience du maté, plus doux.","Mate specialist in France, YVY Mate offers a wide range of organic and fair mate exceptional cultivated in agroforest. In the shade of the forest, the mate is harvested every two years to mature, to get a different experience mate, softer."
pandor,https://www.pandor-culture.com/,"Profitez de votre vie et laissez Pandor s'occuper du reste. Fluide, rapide et transparent. Nous proposons un service culturel centré sur vos préférences, pour une satisfaction garantie.","Enjoy your life and let Pandor do the rest. Fluid, fast and transparent. We offer a cultural service focused on your preferences, satisfaction guaranteed."
multis,https://multis.co/,"Banking accounts for companies who want to make the most of their crypto. Earn interest on treasury, set spending policies, and streamline payments.","Banking accounts for companies Who want to make The Most of Their crypto. Earn interest is treasury, set spending policies, and streamline payments."
choosemycompany,https://choosemycompany.com/fr/,,#VALUE!
pandascore,https://pandascore.co/,"Pandascore, the e-sports data and live API. Get events and detailed match data in real time from major league tournaments, or fetch data about players, tournaments, leagues, matches, teams and more !","Pandascore, the e-sports and live data API. Get detailed match data and events in real time from major league tournaments, or fetch data about players, tournaments, leagues, matches, teams and more!"
mecagoo,https://mecagoo.com/,Comparez et économisez de l’argent sur les réparations et l'entretien de votre automobile. Prenez rendez-vous facilement en ligne en quelques clics.,Compare and save money on repairs and maintenance of your automobile. Make an appointment easily online with a few clicks.
hedee,https://hedee.co,,#VALUE!
klaxo,https://klaxo.fr/,"Trouve l'auto-école qui correspond à ton budget, à tes délais et à ta localisation, planifie tes heures de formation à la conduite 24h/24 et 7j/7 et suis ta progression en ligne. À toi la liberté.","Find the driving school that fits your budget, your time and your location, plan your hours of driver training 24h / 24 and 7/7 and follow your progress online. Be freedom."
pronoo,https://pronoo.ai,Gagne de l'argent avec les paris sportifs grâce à notre algorithme ! Un mois offert à l'inscription !,Earns money with sports paris through our algorithm! A month offered for registration!
easyblue,http://easyblue.io,"Easyblue, la solution digitale pour gérer et assurer de manière proactive les risques des entrepreneurs.","Easyblue, digital solution for managing and proactively ensure the risks of entrepreneurs."
popee,http://www.popee.co,"Popee, votre papier toilette 100% recyclé, 100% sans chlore et 100% made in France, livré dans un emballage 100% recyclable. Un PQ Écolabel qui prend soin de vos fesses et de la planète : petit coin, gros impact !","Popee your toilet paper 100% recycled, chlorine-free 100% and 100% made in France, comes in a 100% recyclable packaging. A PQ Ecolabel that takes care of your buttocks and the planet: small corner, big impact!"
yeldaai,https://www.yelda.ai/,"Yelda is a no-code Voice Assistant SAAS platform for enterprise, which provides in a few clicks a unique and omni-channel voice assistant, able to answer all the questions of your customers, prospects and candidates on your website, Google Home, Amazon Alexa, Facebook Messenger, etc.

","Yelda is a no-code Voice Assistant SAAS platform for enterprise, qui Provides in A Few clicks a single and omni-channel voice assistant, reliable to answer all the issues of your customers, prospects and candidates is your website, Google Home, Amazon Alexa , Facebook Messenger, etc.

"
voulez-vous,https://voulez-vous.club,"Repas frais, sains et variés livrés chaque jour au bureau. Découvrez Voulez-Vous, votre cantine flexible, gourmande et éco-responsable !","fresh food, healthy and varied delivered daily to the office. Discover Want You, your flexible canteen, gourmet and eco-friendly!"
maria-schools,https://www.mariaschools.com/,,#VALUE!
paraswapio,https://paraswap.io/,ParaSwap aggregates liquidity and offer the best market rates,ParaSwap aggregates liquidity and offer the best market rates
welcome-work,https://welcomeatwork.com/,,#VALUE!
qobuz,https://www.qobuz.com/fr-fr/discover,"Plus de 60 millions de titres disponibles en streaming illimité en haute qualité sonore. Qobuz, c’est aussi le leader mondial du téléchargement Hi-Res 24-Bit.",Over 60 million songs available for streaming unlimited high-quality sound. Qobuz is also the world leader in Hi-Res download 24-Bit.
ubble,https://www.ubble.ai/fr,,#VALUE!
testing-studio,https://testingstudio.io/,We empower brands & startups to be more efficient with their tests strategies. We enable them to offer a greater user experience with their customers and with a mastered ROI. Better experience. Increase satisfaction. More sales.,We empower brands & startups to be more efficient strategies With Their tests. We enable Them to offer A Greater User Experience With Their customers and has mastered with ROI. Better experience. Increase satisfaction. More dirty.
teamii,https://www.teamii.co,Teamii vous permet d'améliorer la qualité de vie au travail (QVT) de votre entreprise. Demandez une démo et optimisez le bien-être et les performances de vos équipes.,Teamii allows you to improve the quality of work life (QWL) of your business. Request a demo and optimize well-being and performance of your teams.
patrivia,https://patrivia.net/home,"Des idées de visites culturelles à travers la France et la Belgique, sont disponibles à la réservation sur Patrivia.
    Découvrez châteaux, parcs, jardins, musées, églises, abbayes et autres monuments historiques.","cultural tours of ideas across France and Belgium, are available for booking on Patrivia.
    Discover castles, parks, gardens, museums, churches, abbeys and other historic monuments."
la-bouche-rouge-paris,https://www.laboucherougeparis.fr/,"Maison de rouge à lèvres révolutionnaire. Rechargeable, eco-responsable et pur. Trouvez votre couleur et commandez en quelques clics.","House red lips revolutionary. Rechargeable, eco-friendly and pure. Find your color and order a few clicks."
wechooz,https://www.wechooz.fr,WeChooz est une solution clé en main qui simplifie la mise en place du CSE : accompagnement juridique de A à Z et vote électronique. Simple et sécurisé.,WeChooz is a turnkey solution that simplifies the implementation of the CSE: Legal support from A to Z and electronic voting. Simple and secure.
dae-pro,https://www.dae-pro.fr/,"Vente en ligne d'une large gamme de défibrillateurs DAE norme CE (classe 3) pour TPE, PME, professions libérales. propose une large gamme de films de protection haute qualité pour smartphones & tablettes. Paiement sécurisé et livraison offerte !","Selling a wide range of online defibrillator DAE CE (Class 3) for SOHO, SMEs, the professions. offers a wide range of high quality protective films for smartphones & tablets. Secure payment and delivery for free!"
goodvest,http://www.goodvest.fr,"Découvrez comment Goodvest vous permet d’investir facilement dans l’environnement, l’égalité, la santé… dans un avenir meilleur pour vous et pour le monde.","Learn how Goodvest allows you to easily invest in the environment, gender, health ... in a better future for you and for the world."
supermood,https://www.supermood.com/,Intégrez dès aujourd'hui les feedbacks de vos collaborateurs à votre statégie RH - Comprenez vos collaborateurs - Améliorez la qualité de vie au travail (QVT).,Integrate today the feedback from your employees to your statégie HR - Understand your employees - Improve the quality of work life (QWL).
swan,https://www.swan.io/,"Join hundreds of entrepreneurs, product managers, and developers integrating banking services into their apps.","Join Hundreds of entrepreneurs, product managers, developers and banking services Integrating Into Their apps."
world-gaming-federation,https://wgf.gg/,"WGF offers esports solutions for brands, companies, institutions: digital platforms, marketing, events, consulting","WGF esports offers solutions for brands, companies, institutions digital platforms, marketing, events, consulting"
computablefacts,https://computablefacts.com/,,#VALUE!
hephaistos,http://hephaistos.ai/fr/home-francais/,,#VALUE!
beclean,https://beclean.app,Reportez tous les déchets sauvages que vous voyez en les géolocalisant et en taggant la marque,See all the litter you see in the geolocating and tagging brand
artist-academy,https://www.the-artist-academy.fr/,"Inédit en France les master classes en ligne, dirigées par les plus grands artistes. Accédez en exclusivité aux secrets des plus grands artistes en vidéo 24h/24.","Unpublished master classes in France online, led by the greatest artists. Go exclusively to the greatest artists in secret video 24h / 24."
soiree-sympa,https://www.soireesympa.com,"Soirée Sympa, la billetterie et cagnotte pour mes événements sympas","Nice evening, ticketing and nice pool for my events"
pricinghub,https://www.pricinghub.net/,"PricingHUB optimizes your pricing using its machine learning algorithms, helping you reach your business goals.","PricingHUB optimizes your pricing using icts machine learning algorithms, helping you reach your business goals."
recital,https://recital.ai/,reciTAL est un éditeur logiciel spécialisé en Intelligence Artificielle qui développe des solutions de Search et d’Extract intuitives basées sur les derniers modèles de machine learning et de deep learning.,Recital is a software publisher specializing in Artificial Intelligence that develops solutions and intuitive search Extract based on the latest models of machine learning and deep learning.
trustpair-0,https://trustpair.fr/,"Trustpair accompagne les entreprises dans le contrôle des données bancaires fournisseurs, la sécurité des paiements et la lutte contre la fraude au virement","Trustpair helps companies control banking data providers, payment security and the fight against fraud to transfer"
sarbacane,https://www.sarbacane.com/,Accompagnement et service personnalisé inclus. Une solution haut-de-gamme et des experts en stratégie marketing à votre disposition. Application en ligne.,Support and personalized service included. A high-end solution and experts in marketing strategy available. Online application.
happypal,https://www.happypal.fr/,Offrez les meilleurs avantages à vos salariés ✔️+400 offres ✔️ Digitalisez vos subventions ✔️ Simplifiez votre gestion grâce à notre  plateforme CE / CSE.  Appli CSE mobile !,Offer the best benefits to your employees ✔️ +400 deals ✔️ Digitize your ✔️ grants Simplify management through our EC / SSC platform. Mobile app SSC!
modjo,https://modjo.ai/,,#VALUE!
brothers-loving-beer,http://www.brotherslovingbeer.com/,"BROTHERS LOVING BEER, distributeur de bières artisanales américaines et européennes. Craft beer, USA, et bière artisanale d'Europe!","LOVING BROTHERS BEER, distributor of US and European beers. Craft beer, USA, and craft beer in Europe!"
bakadan,https://badakan.com/,Trouver des missions en extra devient simple avec Badakan. Avec Badakan les professionnels décident quand et où ils souhaitent travailler.,Find extra missions becomes simple with Badakan. With Badakan professionals decide when and where they wish to work.
joone,https://www.joone.fr,"Pionnier dans la démarche de transparence, JOONE vous garantie une couche sans glyphosate, sans dioxine et sans chlore. Abonnement ultra flexible et sans engagement. Cosmétique bio et naturelle certifiée ECOCERT. Produits hypoallergéniques et testés dermatologiquement, utilisables dès la naissance de bébé.","A pioneer in the transparency approach, Joone guarantee you a layer without glyphosate without dioxin and chlorine. Subscription ultra flexible and non-binding. Organic and natural cosmetics certified ECOCERT. Products hypoallergenic and dermatologically tested, used since the birth of baby."
monsherif,https://www.monsherif.com/,"MONSHERIF permet, sans avoir accès à votre mobile et par simples clics, de  RASSURER ou d’ALERTER ! Contre les situations de violences familiales, conjugales, de harcèlement moral, au travail ou encore le harcèlement scolaire, MONSHERIF vous protège, préviens vos proches, vous géolocalise et permet même l'enregistrement d'une situation.","MONSHERIF allows, without having access to your mobile and simple clicks, or REASSURE ALERT! Against situations of domestic violence, marital, psychological harassment at work or school harassment MONSHERIF protect you, tell your loved ones you geolocates and even allows recording of a situation."
ecodisplayr,https://www.ecodisplay.fr,"EcoDisplay® : Système d'écrans connectés, sans fil et ultra-basse consommation pour l’affichage de service et la communication interne en entreprise.","EcoDisplay®: System of connected screens, wireless and ultra-low power for the display service and internal communication in business."
squiz,https://www.squiz.co/fr,,#VALUE!
betonyou,https://www.bet-on-you.com/,"Mise des points gratuitement sur tes propres parties de jeux vidéo préférés, gagne des lots et rejoins une nouvelle communauté de gamers !","Getting points for free on your own favorite parts of video games, wins lots and join a new community of gamers!"
kr-society-mon-agil,https://monagil.fr/,,#VALUE!
tradein,https://www.tradeinsur.com,"TradeIn est le ""Waze"" des paiements et de la gestion de trésorerie. Un outil de lutte contre les incidents de paiement B2B .Cliquez pour en SAVOIR PLUS","Tradein is the ""Waze"" of payments and cash management. A tool against the B2B payment incidents .Click to MORE"
la-grande-ourse,http://www.lagrandeourse.design,Créateurs d’expériences - Nous créons des expériences uniques et des services innovants qui enchantent vos utilisateurs au profit de votre business.,Creators of experience - We create unique experiences and innovative services that delight your users to benefit your business.
quentin-pakiry-0,https://quentin-pakiry.fr/,,#VALUE!
outsiders,https://www.theoutsiders.travel/,Sortez des sentiers battus et découvrez des destinations encore confidentielles. Planifiez votre prochain voyage en fonction de vos envies.,Think outside the box and discover destinations still confidential. Plan your next trip according to your desires.
omnegy,https://omnegy.com,"OMNEGY, courtier en énergie négocie pour vous les meilleures offres tout en trouvant des pistes d'économies sur vos contrats.","OMNEGY, energy broker negotiates the best deals for you while finding tracks savings on your contracts."
hellosafeca,https://hellosafe.ca/,"Grâce à notre comparateur d'assurance auto, magasinez les meilleures assurances du Québec en quelques secondes. Avis d'experts 100% indépendants.","With our auto insurance comparison, shop the best insurance Quebec in seconds. Expert reviews 100% independent."
la-fraise,http://lafraise.co,,#VALUE!
akuocoop,https://www.akuocoop.com/,AkuoCoop permet aux personnes physiques et morales d'investir dans des actifs de production d'énergies renouvelables bénéficiant de l'expertise et du savoir-faire des équipes d'Akuo.,AkuoCoop allows individuals and corporations to invest in production assets renewable energy benefiting from the expertise and know-how of teams Akuo.
les-dechaines,http://www.lesdechaines.fr,"Jouez au tennis à Paris, Lyon, Bordeaux et Rouen en 30 secondes dans l'un de nos clubs ouverts au public, sans engagement et à partir de 11 €","Play tennis in Paris, Lyon, Bordeaux and Rouen in 30 seconds in one of our clubs open to the public, without obligation and from 11 €"
prospectwith,https://www.prospectwith.com/,ProspectWith is one of the largest company databases with more than 5 million companies and 50+ data points updated weekly. Are you ready to scale your prospection?,ProspectWith is one of the Largest company databases with more than 5 million companies and 50+ point data updated weekly. Are you ready to scale your prospecting?
profil-public,https://profilpublic.fr/,,#VALUE!
ab-tasty-0,https://www.abtasty.com/,"Revolutionize brand and product experiences with AB Tasty: AI-powered experimentation & personalization, feature management and product optimization.","Revolutionize brand and product experiences with AB Tasty: AI-powered experiment & personalization, feature management and product optimization."
deepclimb,http://deepclimb.io,We Solve Climbing Through AI,We Solve Climbing Through AI
tikflow,https://tikflow.co,The page you are looking for doesn't exist or has been moved.,The page you are looking for does not exist or has-been Moved.
tickets-restaurant,https://tickets-restaurant.com/,,#VALUE!
lixo,http://www.lixo.tech,AI powered waste detection,AI powered waste detection
forssea-robotics,https://forssea-robotics.fr/,Forssea Robotics designs and manufactures subsea robotics and visual positioning technologies,Forssea Robotics designs and manufactures subsea robotics and visual positioning technologies
humans4help,https://humans4help.com,"Entreprise de Services du Numérique à dimension internationale, Humans4Help est spécialisée dans les sujets relatifs à la transformation digitale.","Digital Services of international company, Humans4Help specializes in topics related to digital transformation."
salesbytech,https://www.salesby.tech/,Il n'a jamais été aussi facile de trouver de nouveaux clients.,It has never been easier to find new customers.
hublo,https://hublo.com/landing,,#VALUE!
la-fourche,http://www.lafourche.fr,"Economisez de 25% à 50% sur les produits bio les plus écologiques et naturels: alimentation bio, vrac, maquillage bio, couches écologiques, zéro déchet, droguerie écologique, hygiène et soins bio...","Save 25% to 50% organic products the most ecological and natural: organic food, bulk, organic makeup, ecological layers, zero waste, ecological drugstore, health care and bio ..."
acinonyx-web-agency,https://acinonyxweb.agency/fr/,Les meilleurs experts européens en qualité agence pour un petit prix 🤑 ? C’est possible avec 🐆 AwA. Tous nos experts sont prêts à propulser vos projets 🚀 !,The best European experts as agency for a small price 🤑? This is possible with 🐆 AWA. Our experts are ready to propel your projects 🚀!
la-consigne-greengo,https://www.laconsignegreengo.com/,"La Consigne GreenGo offre une solution de consigne pour un monde zéro déchets aux points de vente, la vente en ligne, et les entreprises","The GreenGo Setpoint provides a reference solution for a zero waste world point of sale, online sales, and companies"
popnight,https://popnight.fr,L'application permet de découvrir les films préférés de nos amis et de leur partager nos recommandations. Fini les heures à choisir un film :-),The application allows to discover the favorite movies of our friends and share our recommendations. No more hours to choose a movie :-)
magma-technology,https://www.magmatechnology.io/,Magma offre une solution pour optimiser la gestion de vos contenants. Basé sur la combinaison des objets connectés et d'une plateforme IoT.,Magma offers a solution to optimize the management of your containers. Based on the combination of the connected devices and an IoT platform.
quandela,https://quandela.com/,,#VALUE!
bellevilles,http://bellevilles.fr/,Page description,page description
bellman,https://bellman.immo/,Découvrez le neo-syndic Bellman. C'est le syndic de copropriété 100% transparent et qui répond à vos questions dans la journée. 6 visites/an sur votre copropriété.,Discover the neo-trustee Bellman. It is the joint property 100% transparent and which answers your questions in the day. 6 visits / year on your condo.
neofarm,http://neofarm.fr/,,#VALUE!
memo-bank,https://memo.bank,"Memo Bank est une banque pour les PME, créée par des entrepreneurs.","Memo Bank is a bank for SMEs, created by entrepreneurs."
preste,http://www.preste.ai,"PRESTE is an AI company based in Paris and Kyiv. We build Machine Learning & Data Science solutions for businesses: computer vision, natural language processing, prediction, dynamic recommendations & graphs.","PRESTE is an AI company based in Paris and Kyiv. We build Machine Learning & Data Science solutions for businesses: computer vision, natural language processing, prediction, dynamic graphs & recommendations."
tandemz,http://www.tandemz.io,"Get insights from real users with Tandemz, the self-service testers recruiting platform for all your user research needs.","Get insights from real users with Tandemz, the self-service testers recruiting platform for all your user research needs."
stockoss,https://stockoss.com/,"Stockage pour entreprises : trouvez, réservez et pilotez vos stockages long-termes de produits non-marchands. Un service unique alliant technologie innovante et excellence logistique. #officemanagement #événementiel # communication #servicesgénéraux #coworking","Storage companies: find, book and drive your long-term non-marketable products storages. A unique service that combines innovative technology and excellent logistics. #officemanagement event # # # servicesgénéraux communication #coworking"
caregame,https://fr.caregame.com,"One-click mobile gaming, on every device, without subscription, without compromises.","One-click mobile gaming, is every device, without subscription, without compromised."
ieva,https://www.ieva.io/,"Des mesures pour connaître son environnement, des conseils personnalisés pour agir. Twin-C by IEVA est le bijou connecté pour son bien-être","Measures to know his environment, personalized service to act. Twin-C by IEVA is the jewel connected to well-being"
voyageurs-du-monde,https://www.voyageursdumonde.fr/voyage-sur-mesure,"Voyageurs du Monde : agence de voyage spécialiste des voyages sur mesure. Consultez toutes nos offres de séjours à la carte, week-ends de charme, autotours, croisières de luxe… Demande de devis personnalisé.","Voyageurs du Monde: travel agency specializing in customized trips. Check all our accommodation offers a la carte weekends charm, mobile tower, luxury cruise ... Request for quote."
pakko,https://pakko.fr,"Gestion des factures, devis, cotisations, plafonds, projets, clients ... Pakko accompagne les micro-entrepreneurs et leur fait gagner du temps !","Management of invoices, quotes, contributions, ceilings, projects, customers ... Pakko accompanying micro-entrepreneurs and saves time!"
farsem,https://farsem.com,Plateforme pour publier dans plusieurs groupes Facebook avec votre profil ou votre page Facebook. Publier sur Facebook n'a jamais été aussi simple,Platform to publish several Facebook groups with your profile or Facebook page. Post to Facebook has never been easier
alertes-croquettes-tv-petfood-strategy,https://alertes-croquettes-tv.com/,La chaîne de la famille Croquette !,The chain of kibble family!
divenly,https://www.divenly.fr,,#VALUE!
origin-labs,https://www.origin-labs.com/,,#VALUE!
eatspossible,http://www.eatspossible.fr,"EatsPossible | Santé, nutrition, recettes, allergies, intolérances et mode de vie plus sain et éthique.","EatsPossible | Health, nutrition, recipes, allergies, intolerances and healthier lifestyle and ethics."
haut-les-cours,https://hautlescours.fr,"Prenez vos loisirs au sérieux ! Théâtre, danse, dessin, DIY, chant, arts martiaux, écriture... Haut Les Cours est le guide de référence.","Take leisure seriously! Theater, dance, design, DIY, singing, martial arts, writing ... Top Courses is the reference guide."
fealing,https://fealing.eu/,"Fealing développe des solutions innovantes pour comprendre et améliorer le sommeil et la santé, à l’hôpital et à domicile !","Fealing develops innovative solutions to understand and improve sleep and health, hospital and home!"
les-bornees,https://lesbornees.com/le-projet,"Le projet Les Bornées, c'est l'histoire de deux femmes qui décident de prendre le départ de l'Etape du Tour et de faire un pied de nez au sexisme. Elles ont à coeur de féminiser, digitaliser et démocratiser la pratique du cyclisme en France.","The project The Bounded is the story of two women who decide to take the start of the Etape du Tour and thumbing its nose sexism. They are keen to feminize, digitize and democratize the practice of cycling in France."
anakine,https://anakine.io/,Nous sommes une équipe de chasseurs de têtes passionnés de Digital. Nous trouvons les meilleurs développeurs pour les plus belles startups !,We are a team of headhunters enthusiasts Digital. We find the best developers for the best startups!
